runs_so_far,wickets_fallen,balls_bowled,balls_remaining,overs_completed,current_run_rate,required_run_rate,runs_to_target,target,striker_runs,striker_balls,striker_strike_rate,striker_fours,striker_sixes,bowler_economy,bowler_wickets,bowler_dots,innings_number,over_limit,final_score,match_id,batting_team_id
60,2,32,88,5,11.25,0.0,0,0,84,52,161.54,10,2,9.67,2,7,1,20,191,1,2
61,2,33,87,5,11.09,0.0,0,0,36,21,171.43,0,3,9.67,2,7,1,20,191,1,2
64,2,34,86,5,11.29,0.0,0,0,84,52,161.54,10,2,9.67,2,7,1,20,191,1,2
64,2,35,85,5,10.97,0.0,0,0,84,52,161.54,10,2,9.67,2,7,1,20,191,1,2
71,2,36,84,6,11.83,0.0,0,0,36,21,171.43,0,3,6.75,0,10,1,20,191,1,2
73,2,37,83,6,11.84,0.0,0,0,36,21,171.43,0,3,6.75,0,10,1,20,191,1,2
75,2,38,82,6,11.84,0.0,0,0,36,21,171.43,0,3,6.75,0,10,1,20,191,1,2
76,2,39,81,6,11.69,0.0,0,0,84,52,161.54,10,2,6.75,0,10,1,20,191,1,2
77,2,40,80,6,11.55,0.0,0,0,36,21,171.43,0,3,6.75,0,10,1,20,191,1,2
78,2,41,79,6,11.41,0.0,0,0,84,52,161.54,10,2,6.75,0,10,1,20,191,1,2
78,2,42,78,7,11.14,0.0,0,0,36,21,171.43,0,3,6.25,1,11,1,20,191,1,2
79,2,43,77,7,11.02,0.0,0,0,84,52,161.54,10,2,6.25,1,11,1,20,191,1,2
79,2,44,76,7,10.77,0.0,0,0,84,52,161.54,10,2,6.25,1,11,1,20,191,1,2
80,2,44,76,7,10.91,0.0,0,0,84,52,161.54,10,2,6.25,1,11,1,20,191,1,2
80,2,45,75,7,10.67,0.0,0,0,84,52,161.54,10,2,6.25,1,11,1,20,191,1,2
81,2,46,74,7,10.57,0.0,0,0,36,21,171.43,0,3,6.25,1,11,1,20,191,1,2
81,2,47,73,7,10.34,0.0,0,0,36,21,171.43,0,3,6.25,1,11,1,20,191,1,2
87,2,48,72,8,10.88,0.0,0,0,84,52,161.54,10,2,12.0,1,6,1,20,191,1,2
91,2,49,71,8,11.14,0.0,0,0,84,52,161.54,10,2,12.0,1,6,1,20,191,1,2
91,2,50,70,8,10.92,0.0,0,0,84,52,161.54,10,2,12.0,1,6,1,20,191,1,2
91,2,51,69,8,10.71,0.0,0,0,84,52,161.54,10,2,12.0,1,6,1,20,191,1,2
92,2,52,68,8,10.62,0.0,0,0,36,21,171.43,0,3,12.0,1,6,1,20,191,1,2
93,2,53,67,8,10.53,0.0,0,0,84,52,161.54,10,2,12.0,1,6,1,20,191,1,2
93,2,54,66,9,10.33,0.0,0,0,36,21,171.43,0,3,15.0,0,1,1,20,191,1,2
95,2,55,65,9,10.36,0.0,0,0,36,21,171.43,0,3,15.0,0,1,1,20,191,1,2
95,2,56,64,9,10.18,0.0,0,0,36,21,171.43,0,3,15.0,0,1,1,20,191,1,2
96,2,57,63,9,10.11,0.0,0,0,36,21,171.43,0,3,15.0,0,1,1,20,191,1,2
98,2,58,62,9,10.14,0.0,0,0,36,21,171.43,0,3,15.0,0,1,1,20,191,1,2
104,2,59,61,9,10.58,0.0,0,0,36,21,171.43,0,3,15.0,0,1,1,20,191,1,2
105,2,60,60,10,10.5,0.0,0,0,36,21,171.43,0,3,6.75,0,10,1,20,191,1,2
105,2,61,59,10,10.33,0.0,0,0,36,21,171.43,0,3,6.75,0,10,1,20,191,1,2
106,2,62,58,10,10.26,0.0,0,0,84,52,161.54,10,2,6.75,0,10,1,20,191,1,2
106,2,63,57,10,10.1,0.0,0,0,84,52,161.54,10,2,6.75,0,10,1,20,191,1,2
106,2,64,56,10,9.94,0.0,0,0,84,52,161.54,10,2,6.75,0,10,1,20,191,1,2
107,2,65,55,10,9.88,0.0,0,0,84,52,161.54,10,2,6.75,0,10,1,20,191,1,2
110,2,66,54,11,10.0,0.0,0,0,84,52,161.54,10,2,16.0,0,1,1,20,191,1,2
114,2,67,53,11,10.21,0.0,0,0,84,52,161.54,10,2,16.0,0,1,1,20,191,1,2
116,2,68,52,11,10.24,0.0,0,0,84,52,161.54,10,2,16.0,0,1,1,20,191,1,2
120,2,69,51,11,10.43,0.0,0,0,84,52,161.54,10,2,16.0,0,1,1,20,191,1,2
122,2,70,50,11,10.46,0.0,0,0,84,52,161.54,10,2,16.0,0,1,1,20,191,1,2
123,2,71,49,11,10.39,0.0,0,0,36,21,171.43,0,3,16.0,0,1,1,20,191,1,2
129,2,72,48,12,10.75,0.0,0,0,84,52,161.54,10,2,9.67,2,7,1,20,191,1,2
130,2,73,47,12,10.68,0.0,0,0,36,21,171.43,0,3,9.67,2,7,1,20,191,1,2
130,2,74,46,12,10.54,0.0,0,0,36,21,171.43,0,3,9.67,2,7,1,20,191,1,2
130,3,75,45,12,10.4,0.0,0,0,12,15,80.0,1,0,9.67,2,7,1,20,191,1,2
131,3,76,44,12,10.34,0.0,0,0,84,52,161.54,10,2,9.67,2,7,1,20,191,1,2
135,3,77,43,12,10.52,0.0,0,0,84,52,161.54,10,2,9.67,2,7,1,20,191,1,2
135,3,78,42,13,10.38,0.0,0,0,12,15,80.0,1,0,6.25,1,11,1,20,191,1,2
135,3,79,41,13,10.25,0.0,0,0,12,15,80.0,1,0,6.25,1,11,1,20,191,1,2
135,3,80,40,13,10.12,0.0,0,0,12,15,80.0,1,0,6.25,1,11,1,20,191,1,2
136,3,81,39,13,10.07,0.0,0,0,84,52,161.54,10,2,6.25,1,11,1,20,191,1,2
137,3,81,39,13,10.15,0.0,0,0,84,52,161.54,10,2,6.25,1,11,1,20,191,1,2
137,3,82,38,13,10.02,0.0,0,0,84,52,161.54,10,2,6.25,1,11,1,20,191,1,2
138,3,83,37,13,9.98,0.0,0,0,12,15,80.0,1,0,6.25,1,11,1,20,191,1,2
140,3,84,36,14,10.0,0.0,0,0,84,52,161.54,10,2,15.0,0,1,1,20,191,1,2
142,3,85,35,14,10.02,0.0,0,0,84,52,161.54,10,2,15.0,0,1,1,20,191,1,2
148,3,86,34,14,10.33,0.0,0,0,84,52,161.54,10,2,15.0,0,1,1,20,191,1,2
150,3,87,33,14,10.34,0.0,0,0,84,52,161.54,10,2,15.0,0,1,1,20,191,1,2
154,3,88,32,14,10.5,0.0,0,0,84,52,161.54,10,2,15.0,0,1,1,20,191,1,2
157,3,89,31,14,10.58,0.0,0,0,84,52,161.54,10,2,15.0,0,1,1,20,191,1,2
158,3,90,30,15,10.53,0.0,0,0,84,52,161.54,10,2,6.25,1,11,1,20,191,1,2
158,3,91,29,15,10.42,0.0,0,0,84,52,161.54,10,2,6.25,1,11,1,20,191,1,2
160,3,92,28,15,10.43,0.0,0,0,84,52,161.54,10,2,6.25,1,11,1,20,191,1,2
161,3,93,27,15,10.39,0.0,0,0,12,15,80.0,1,0,6.25,1,11,1,20,191,1,2
162,3,94,26,15,10.34,0.0,0,0,84,52,161.54,10,2,6.25,1,11,1,20,191,1,2
162,3,95,25,15,10.23,0.0,0,0,84,52,161.54,10,2,6.25,1,11,1,20,191,1,2
166,3,96,24,16,10.38,0.0,0,0,12,15,80.0,1,0,6.75,0,10,1,20,191,1,2
167,3,97,23,16,10.33,0.0,0,0,84,52,161.54,10,2,6.75,0,10,1,20,191,1,2
167,3,98,22,16,10.22,0.0,0,0,84,52,161.54,10,2,6.75,0,10,1,20,191,1,2
169,3,99,21,16,10.24,0.0,0,0,12,15,80.0,1,0,6.75,0,10,1,20,191,1,2
169,3,100,20,16,10.14,0.0,0,0,12,15,80.0,1,0,6.75,0,10,1,20,191,1,2
173,3,101,19,16,10.28,0.0,0,0,12,15,80.0,1,0,6.75,0,10,1,20,191,1,2
174,3,102,18,17,10.24,0.0,0,0,84,52,161.54,10,2,12.0,1,6,1,20,191,1,2
178,3,103,17,17,10.37,0.0,0,0,84,52,161.54,10,2,12.0,1,6,1,20,191,1,2
178,3,104,16,17,10.27,0.0,0,0,84,52,161.54,10,2,12.0,1,6,1,20,191,1,2
178,4,105,15,17,10.17,0.0,0,0,11,4,275.0,1,1,12.0,1,6,1,20,191,1,2
179,4,106,14,17,10.13,0.0,0,0,12,15,80.0,1,0,12.0,1,6,1,20,191,1,2
180,4,107,13,17,10.09,0.0,0,0,11,4,275.0,1,1,12.0,1,6,1,20,191,1,2
184,4,108,12,18,10.22,0.0,0,0,12,15,80.0,1,0,6.75,0,10,1,20,191,1,2
184,4,109,11,18,10.13,0.0,0,0,12,15,80.0,1,0,6.75,0,10,1,20,191,1,2
184,4,110,10,18,10.04,0.0,0,0,12,15,80.0,1,0,6.75,0,10,1,20,191,1,2
184,4,111,9,18,9.95,0.0,0,0,12,15,80.0,1,0,6.75,0,10,1,20,191,1,2
185,4,112,8,18,9.91,0.0,0,0,11,4,275.0,1,1,6.75,0,10,1,20,191,1,2
185,4,113,7,18,9.82,0.0,0,0,11,4,275.0,1,1,6.75,0,10,1,20,191,1,2
7,0,6,114,1,7.0,9.74,185,192,57,27,211.11,5,3,9.75,1,7,2,20,167,1,3
9,0,7,113,1,7.71,9.72,183,192,57,27,211.11,5,3,9.75,1,7,2,20,167,1,3
9,0,8,112,1,6.75,9.8,183,192,57,27,211.11,5,3,9.75,1,7,2,20,167,1,3
10,0,9,111,1,6.67,9.84,182,192,67,51,131.37,8,1,9.75,1,7,2,20,167,1,3
10,0,10,110,1,6.0,9.93,182,192,67,51,131.37,8,1,9.75,1,7,2,20,167,1,3
11,0,11,109,1,6.0,9.96,181,192,67,51,131.37,8,1,9.75,1,7,2,20,167,1,3
11,0,12,108,2,5.5,10.06,181,192,57,27,211.11,5,3,8.0,1,8,2,20,167,1,3
15,0,13,107,2,6.92,9.93,177,192,57,27,211.11,5,3,8.0,1,8,2,20,167,1,3
16,0,14,106,2,6.86,9.96,176,192,67,51,131.37,8,1,8.0,1,8,2,20,167,1,3
16,0,15,105,2,6.4,10.06,176,192,67,51,131.37,8,1,8.0,1,8,2,20,167,1,3
17,0,16,104,2,6.38,10.1,175,192,57,27,211.11,5,3,8.0,1,8,2,20,167,1,3
23,0,17,103,2,8.12,9.84,169,192,57,27,211.11,5,3,8.0,1,8,2,20,167,1,3
23,0,18,102,3,7.67,9.94,169,192,67,51,131.37,8,1,9.75,1,7,2,20,167,1,3
23,0,19,101,3,7.26,10.04,169,192,67,51,131.37,8,1,9.75,1,7,2,20,167,1,3
25,0,20,100,3,7.5,10.02,167,192,67,51,131.37,8,1,9.75,1,7,2,20,167,1,3
26,0,21,99,3,7.43,10.06,166,192,57,27,211.11,5,3,9.75,1,7,2,20,167,1,3
27,0,22,98,3,7.36,10.1,165,192,67,51,131.37,8,1,9.75,1,7,2,20,167,1,3
31,0,23,97,3,8.09,9.96,161,192,67,51,131.37,8,1,9.75,1,7,2,20,167,1,3
33,0,24,96,4,8.25,9.94,159,192,57,27,211.11,5,3,8.0,1,8,2,20,167,1,3
33,0,25,95,4,7.92,10.04,159,192,57,27,211.11,5,3,8.0,1,8,2,20,167,1,3
39,0,26,94,4,9.0,9.77,153,192,57,27,211.11,5,3,8.0,1,8,2,20,167,1,3
41,0,27,93,4,9.11,9.74,151,192,57,27,211.11,5,3,8.0,1,8,2,20,167,1,3
42,0,28,92,4,9.0,9.78,150,192,67,51,131.37,8,1,8.0,1,8,2,20,167,1,3
42,0,29,91,4,8.69,9.89,150,192,67,51,131.37,8,1,8.0,1,8,2,20,167,1,3
43,0,30,90,5,8.6,9.93,149,192,67,51,131.37,8,1,9.75,1,7,2,20,167,1,3
45,0,30,90,5,9.0,9.8,147,192,67,51,131.37,8,1,10.5,0,9,2,20,167,1,3
45,0,31,89,5,8.71,9.91,147,192,67,51,131.37,8,1,10.5,0,9,2,20,167,1,3
46,0,32,88,5,8.62,9.95,146,192,57,27,211.11,5,3,10.5,0,9,2,20,167,1,3
51,0,33,87,5,9.27,9.72,141,192,57,27,211.11,5,3,10.5,0,9,2,20,167,1,3
55,0,34,86,5,9.71,9.56,137,192,57,27,211.11,5,3,10.5,0,9,2,20,167,1,3
57,0,35,85,5,9.77,9.53,135,192,57,27,211.11,5,3,10.5,0,9,2,20,167,1,3
60,0,36,84,6,10.0,9.43,132,192,57,27,211.11,5,3,8.5,0,12,2,20,167,1,3
60,0,37,83,6,9.73,9.54,132,192,57,27,211.11,5,3,8.5,0,12,2,20,167,1,3
60,0,38,82,6,9.47,9.66,132,192,57,27,211.11,5,3,8.5,0,12,2,20,167,1,3
63,0,39,81,6,9.69,9.56,129,192,67,51,131.37,8,1,8.5,0,12,2,20,167,1,3
63,0,40,80,6,9.45,9.67,129,192,67,51,131.37,8,1,8.5,0,12,2,20,167,1,3
64,0,41,79,6,9.37,9.72,128,192,57,27,211.11,5,3,8.5,0,12,2,20,167,1,3
68,0,42,78,7,9.71,9.54,124,192,67,51,131.37,8,1,10.5,0,9,2,20,167,1,3
70,0,43,77,7,9.77,9.51,122,192,67,51,131.37,8,1,10.5,0,9,2,20,167,1,3
71,0,44,76,7,9.68,9.55,121,192,57,27,211.11,5,3,10.5,0,9,2,20,167,1,3
77,0,45,75,7,10.27,9.2,115,192,57,27,211.11,5,3,10.5,0,9,2,20,167,1,3
77,0,46,74,7,10.04,9.32,115,192,57,27,211.11,5,3,10.5,0,9,2,20,167,1,3
78,0,47,73,7,9.96,9.37,114,192,67,51,131.37,8,1,10.5,0,9,2,20,167,1,3
79,0,47,73,7,10.09,9.29,113,192,67,51,131.37,8,1,10.5,0,9,2,20,167,1,3
83,0,48,72,8,10.38,9.08,109,192,57,27,211.11,5,3,9.75,1,7,2,20,167,1,3
83,0,49,71,8,10.16,9.21,109,192,57,27,211.11,5,3,9.75,1,7,2,20,167,1,3
84,0,50,70,8,10.08,9.26,108,192,67,51,131.37,8,1,9.75,1,7,2,20,167,1,3
86,0,51,69,8,10.12,9.22,106,192,67,51,131.37,8,1,9.75,1,7,2,20,167,1,3
87,0,52,68,8,10.04,9.26,105,192,57,27,211.11,5,3,9.75,1,7,2,20,167,1,3
91,1,53,67,8,10.3,9.04,101,192,20,17,117.65,2,0,9.75,1,7,2,20,167,1,3
93,1,54,66,9,10.33,9.0,99,192,67,51,131.37,8,1,8.0,0,1,2,20,167,1,3
96,1,55,65,9,10.47,8.86,96,192,20,17,117.65,2,0,8.0,0,1,2,20,167,1,3
97,1,56,64,9,10.39,8.91,95,192,67,51,131.37,8,1,8.0,0,1,2,20,167,1,3
98,1,57,63,9,10.32,8.95,94,192,20,17,117.65,2,0,8.0,0,1,2,20,167,1,3
100,1,58,62,9,10.34,8.9,92,192,20,17,117.65,2,0,8.0,0,1,2,20,167,1,3
100,1,59,61,9,10.17,9.05,92,192,20,17,117.65,2,0,8.0,0,1,2,20,167,1,3
101,1,60,60,10,10.1,9.1,91,192,20,17,117.65,2,0,9.75,1,7,2,20,167,1,3
105,1,61,59,10,10.33,8.85,87,192,20,17,117.65,2,0,9.75,1,7,2,20,167,1,3
106,1,62,58,10,10.26,8.9,86,192,67,51,131.37,8,1,9.75,1,7,2,20,167,1,3
110,1,63,57,10,10.48,8.63,82,192,67,51,131.37,8,1,9.75,1,7,2,20,167,1,3
110,1,64,56,10,10.31,8.79,82,192,67,51,131.37,8,1,9.75,1,7,2,20,167,1,3
114,1,65,55,10,10.52,8.51,78,192,67,51,131.37,8,1,9.75,1,7,2,20,167,1,3
114,1,66,54,11,10.36,8.67,78,192,20,17,117.65,2,0,8.5,0,12,2,20,167,1,3
114,1,67,53,11,10.21,8.83,78,192,20,17,117.65,2,0,8.5,0,12,2,20,167,1,3
114,1,68,52,11,10.06,9.0,78,192,20,17,117.65,2,0,8.5,0,12,2,20,167,1,3
114,1,69,51,11,9.91,9.18,78,192,20,17,117.65,2,0,8.5,0,12,2,20,167,1,3
116,1,70,50,11,9.94,9.12,76,192,20,17,117.65,2,0,8.5,0,12,2,20,167,1,3
120,1,71,49,11,10.14,8.82,72,192,20,17,117.65,2,0,8.5,0,12,2,20,167,1,3
123,1,71,49,11,10.39,8.45,69,192,20,17,117.65,2,0,8.5,0,12,2,20,167,1,3
123,1,72,48,12,10.25,8.62,69,192,67,51,131.37,8,1,10.0,0,5,2,20,167,1,3
123,1,73,47,12,10.11,8.81,69,192,67,51,131.37,8,1,10.0,0,5,2,20,167,1,3
126,1,74,46,12,10.22,8.61,66,192,67,51,131.37,8,1,10.0,0,5,2,20,167,1,3
126,1,75,45,12,10.08,8.8,66,192,67,51,131.37,8,1,10.0,0,5,2,20,167,1,3
126,1,76,44,12,9.95,9.0,66,192,67,51,131.37,8,1,10.0,0,5,2,20,167,1,3
127,1,77,43,12,9.9,9.07,65,192,20,17,117.65,2,0,10.0,0,5,2,20,167,1,3
128,1,78,42,13,9.85,9.14,64,192,20,17,117.65,2,0,8.0,1,8,2,20,167,1,3
128,1,79,41,13,9.72,9.37,64,192,20,17,117.65,2,0,8.0,1,8,2,20,167,1,3
128,1,80,40,13,9.6,9.6,64,192,20,17,117.65,2,0,8.0,1,8,2,20,167,1,3
128,2,81,39,13,9.48,9.85,64,192,15,13,115.38,0,0,8.0,1,8,2,20,167,1,3
128,2,82,38,13,9.37,10.11,64,192,15,13,115.38,0,0,8.0,1,8,2,20,167,1,3
129,2,83,37,13,9.33,10.22,63,192,67,51,131.37,8,1,8.0,1,8,2,20,167,1,3
130,2,84,36,14,9.29,10.33,62,192,15,13,115.38,0,0,8.5,0,12,2,20,167,1,3
131,2,85,35,14,9.25,10.46,61,192,67,51,131.37,8,1,8.5,0,12,2,20,167,1,3
132,2,86,34,14,9.21,10.59,60,192,15,13,115.38,0,0,8.5,0,12,2,20,167,1,3
132,2,87,33,14,9.1,10.91,60,192,15,13,115.38,0,0,8.5,0,12,2,20,167,1,3
132,2,88,32,14,9.0,11.25,60,192,15,13,115.38,0,0,8.5,0,12,2,20,167,1,3
134,2,89,31,14,9.03,11.23,58,192,15,13,115.38,0,0,8.5,0,12,2,20,167,1,3
136,2,90,30,15,9.07,11.2,56,192,67,51,131.37,8,1,10.0,0,5,2,20,167,1,3
143,2,90,30,15,9.53,9.8,49,192,15,13,115.38,0,0,10.5,0,9,2,20,167,1,3
146,2,91,29,15,9.63,9.52,46,192,67,51,131.37,8,1,10.5,0,9,2,20,167,1,3
146,2,92,28,15,9.52,9.86,46,192,67,51,131.37,8,1,10.5,0,9,2,20,167,1,3
146,2,93,27,15,9.42,10.22,46,192,67,51,131.37,8,1,10.5,0,9,2,20,167,1,3
146,2,94,26,15,9.32,10.62,46,192,67,51,131.37,8,1,10.5,0,9,2,20,167,1,3
148,2,95,25,15,9.35,10.56,44,192,67,51,131.37,8,1,10.5,0,9,2,20,167,1,3
148,2,96,24,16,9.25,11.0,44,192,15,13,115.38,0,0,8.5,0,12,2,20,167,1,3
148,2,97,23,16,9.15,11.48,44,192,15,13,115.38,0,0,8.5,0,12,2,20,167,1,3
151,2,98,22,16,9.24,11.18,41,192,67,51,131.37,8,1,8.5,0,12,2,20,167,1,3
155,2,99,21,16,9.39,10.57,37,192,67,51,131.37,8,1,8.5,0,12,2,20,167,1,3
155,2,100,20,16,9.3,11.1,37,192,67,51,131.37,8,1,8.5,0,12,2,20,167,1,3
159,2,101,19,16,9.45,10.42,33,192,67,51,131.37,8,1,8.5,0,12,2,20,167,1,3
159,2,102,18,17,9.35,11.0,33,192,15,13,115.38,0,0,10.0,0,5,2,20,167,1,3
160,2,103,17,17,9.32,11.29,32,192,67,51,131.37,8,1,10.0,0,5,2,20,167,1,3
164,2,104,16,17,9.46,10.5,28,192,67,51,131.37,8,1,10.0,0,5,2,20,167,1,3
164,2,105,15,17,9.37,11.2,28,192,67,51,131.37,8,1,10.0,0,5,2,20,167,1,3
165,2,106,14,17,9.34,11.57,27,192,15,13,115.38,0,0,10.0,0,5,2,20,167,1,3
167,2,107,13,17,9.36,11.54,25,192,15,13,115.38,0,0,10.0,0,5,2,20,167,1,3
14,1,6,114,1,14.0,0.0,0,0,7,6,116.67,0,0,10.33,3,5,1,20,235,2,3
15,1,7,113,1,12.86,0.0,0,0,31,11,281.82,5,1,10.33,3,5,1,20,235,2,3
19,1,8,112,1,14.25,0.0,0,0,31,11,281.82,5,1,10.33,3,5,1,20,235,2,3
22,1,9,111,1,14.67,0.0,0,0,7,6,116.67,0,0,10.33,3,5,1,20,235,2,3
24,1,10,110,1,14.4,0.0,0,0,7,6,116.67,0,0,10.33,3,5,1,20,235,2,3
25,2,11,109,1,13.64,0.0,0,0,0,1,0.0,0,0,10.33,3,5,1,20,235,2,3
25,3,12,108,2,12.5,0.0,0,0,31,11,281.82,5,1,14.25,1,6,1,20,235,2,3
29,3,13,107,2,13.38,0.0,0,0,31,11,281.82,5,1,14.25,1,6,1,20,235,2,3
33,3,14,106,2,14.14,0.0,0,0,31,11,281.82,5,1,14.25,1,6,1,20,235,2,3
35,3,15,105,2,14.0,0.0,0,0,31,11,281.82,5,1,14.25,1,6,1,20,235,2,3
39,3,16,104,2,14.62,0.0,0,0,31,11,281.82,5,1,14.25,1,6,1,20,235,2,3
39,3,17,103,2,13.76,0.0,0,0,31,11,281.82,5,1,14.25,1,6,1,20,235,2,3
39,3,18,102,3,13.0,0.0,0,0,97,45,215.56,16,1,12.25,1,9,1,20,235,2,3
39,3,19,101,3,12.32,0.0,0,0,97,45,215.56,16,1,12.25,1,9,1,20,235,2,3
43,3,20,100,3,12.9,0.0,0,0,97,45,215.56,16,1,12.25,1,9,1,20,235,2,3
43,3,21,99,3,12.29,0.0,0,0,97,45,215.56,16,1,12.25,1,9,1,20,235,2,3
46,3,22,98,3,12.55,0.0,0,0,31,11,281.82,5,1,12.25,1,9,1,20,235,2,3
50,4,23,97,3,13.04,0.0,0,0,47,26,180.77,7,1,12.25,1,9,1,20,235,2,3
50,4,24,96,4,12.5,0.0,0,0,97,45,215.56,16,1,11.67,0,4,1,20,235,2,3
51,4,25,95,4,12.24,0.0,0,0,47,26,180.77,7,1,11.67,0,4,1,20,235,2,3
55,4,26,94,4,12.69,0.0,0,0,47,26,180.77,7,1,11.67,0,4,1,20,235,2,3
57,4,27,93,4,12.67,0.0,0,0,47,26,180.77,7,1,11.67,0,4,1,20,235,2,3
58,4,28,92,4,12.43,0.0,0,0,97,45,215.56,16,1,11.67,0,4,1,20,235,2,3
59,4,29,91,4,12.21,0.0,0,0,47,26,180.77,7,1,11.67,0,4,1,20,235,2,3
59,4,30,90,5,11.8,0.0,0,0,97,45,215.56,16,1,19.0,0,2,1,20,235,2,3
64,4,30,90,5,12.8,0.0,0,0,47,26,180.77,7,1,14.25,1,6,1,20,235,2,3
68,4,31,89,5,13.16,0.0,0,0,47,26,180.77,7,1,14.25,1,6,1,20,235,2,3
70,4,32,88,5,13.12,0.0,0,0,47,26,180.77,7,1,14.25,1,6,1,20,235,2,3
76,4,33,87,5,13.82,0.0,0,0,47,26,180.77,7,1,14.25,1,6,1,20,235,2,3
76,4,34,86,5,13.41,0.0,0,0,47,26,180.77,7,1,14.25,1,6,1,20,235,2,3
80,4,35,85,5,13.71,0.0,0,0,47,26,180.77,7,1,14.25,1,6,1,20,235,2,3
80,4,36,84,6,13.33,0.0,0,0,97,45,215.56,16,1,11.67,0,4,1,20,235,2,3
80,4,37,83,6,12.97,0.0,0,0,97,45,215.56,16,1,11.67,0,4,1,20,235,2,3
81,4,37,83,6,13.14,0.0,0,0,97,45,215.56,16,1,11.67,0,4,1,20,235,2,3
81,4,38,82,6,12.79,0.0,0,0,97,45,215.56,16,1,11.67,0,4,1,20,235,2,3
85,4,39,81,6,13.08,0.0,0,0,97,45,215.56,16,1,11.67,0,4,1,20,235,2,3
89,4,40,80,6,13.35,0.0,0,0,97,45,215.56,16,1,11.67,0,4,1,20,235,2,3
93,4,41,79,6,13.61,0.0,0,0,97,45,215.56,16,1,11.67,0,4,1,20,235,2,3
97,4,42,78,7,13.86,0.0,0,0,47,26,180.77,7,1,11.0,3,7,1,20,235,2,3
98,4,43,77,7,13.67,0.0,0,0,97,45,215.56,16,1,11.0,3,7,1,20,235,2,3
102,4,43,77,7,14.23,0.0,0,0,47,26,180.77,7,1,11.0,3,7,1,20,235,2,3
102,4,44,76,7,13.91,0.0,0,0,47,26,180.77,7,1,11.0,3,7,1,20,235,2,3
105,4,45,75,7,14.0,0.0,0,0,97,45,215.56,16,1,11.0,3,7,1,20,235,2,3
105,4,46,74,7,13.7,0.0,0,0,97,45,215.56,16,1,11.0,3,7,1,20,235,2,3
106,4,47,73,7,13.53,0.0,0,0,47,26,180.77,7,1,11.0,3,7,1,20,235,2,3
110,4,48,72,8,13.75,0.0,0,0,97,45,215.56,16,1,11.67,0,4,1,20,235,2,3
